epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,1725.57,1.65194,1.27169,0.01329,0.63251,0.44696,0.49237,0.28005,1.43772,0.98725,0.0188,0.001307,0.001307,0.001307
44,1795.18,1.63596,1.26964,0.01342,0.61815,0.46261,0.50513,0.28701,1.44211,0.99524,0.01932,0.0012905,0.0012905,0.0012905
45,1867.99,1.67427,1.26391,0.0135,0.67613,0.44272,0.51232,0.29015,1.43168,0.93143,0.019,0.001274,0.001274,0.001274
46,1953.5,1.67001,1.27384,0.01346,0.64537,0.48471,0.53397,0.30076,1.45538,0.91778,0.01942,0.0012575,0.0012575,0.0012575
47,2031.79,1.63388,1.25878,0.01379,0.61225,0.45088,0.49131,0.27967,1.43792,0.97945,0.01925,0.001241,0.001241,0.001241
48,2113.75,1.6313,1.23567,0.01334,0.63959,0.46922,0.50976,0.29376,1.44082,0.92743,0.01943,0.0012245,0.0012245,0.0012245
49,2198.06,1.67216,1.20596,0.01353,0.60662,0.46582,0.50447,0.28821,1.42491,0.95838,0.01862,0.001208,0.001208,0.001208
50,2277.99,1.59032,1.21551,0.01366,0.64789,0.46507,0.50236,0.2853,1.43529,0.97363,0.01869,0.0011915,0.0011915,0.0011915
51,2352.76,1.62328,1.22901,0.01306,0.64355,0.45559,0.50339,0.28951,1.42538,0.9361,0.01857,0.001175,0.001175,0.001175
52,2426.29,1.6094,1.2027,0.01307,0.63748,0.44272,0.48227,0.2812,1.43159,1.03106,0.019,0.0011585,0.0011585,0.0011585
53,2516.14,1.60035,1.19881,0.01283,0.67736,0.45251,0.51412,0.29697,1.41047,0.88837,0.01873,0.001142,0.001142,0.001142
54,2612.71,1.55236,1.1572,0.01301,0.66688,0.46392,0.52205,0.30266,1.41596,0.90935,0.01881,0.0011255,0.0011255,0.0011255
55,2702.62,1.59978,1.17709,0.01299,0.61762,0.46487,0.51003,0.29294,1.39654,0.93616,0.01786,0.001109,0.001109,0.001109
