epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1
46,3790.1,0.3474,0.27299,0.80196,0.94295,0.93213,0.97423,0.93093,0.27084,0.24826,0.78194,0.000198464,0.00396928
47,3871.34,0.34814,0.27288,0.80144,0.9434,0.93152,0.97478,0.93178,0.26983,0.24787,0.78166,0.000193054,0.00386109
48,3952.2,0.34798,0.27186,0.80151,0.94431,0.93001,0.97411,0.93114,0.27067,0.24832,0.78218,0.000187628,0.00375257
49,4034.02,0.34407,0.26948,0.80079,0.94457,0.93016,0.97438,0.93141,0.27026,0.24792,0.78182,0.000182192,0.00364384
50,4116.06,0.34456,0.26963,0.80072,0.94174,0.93285,0.97443,0.93177,0.26938,0.24776,0.78217,0.00017675,0.003535
51,4197.73,0.3442,0.26832,0.80052,0.94444,0.93097,0.97497,0.93235,0.26798,0.2463,0.78167,0.000171308,0.00342616
52,4278.9,0.34301,0.26635,0.8008,0.94423,0.93092,0.97454,0.93235,0.26736,0.2457,0.7815,0.000165872,0.00331743
53,4360.73,0.34412,0.26724,0.80072,0.94382,0.93177,0.97514,0.93296,0.26759,0.24551,0.78165,0.000160446,0.00320891
54,4442.7,0.34268,0.26722,0.7997,0.94382,0.93199,0.97481,0.9329,0.2684,0.24578,0.78149,0.000155036,0.00310072
55,4525.96,0.34032,0.2651,0.80047,0.94531,0.93088,0.97487,0.93345,0.26658,0.24531,0.78167,0.000149648,0.00299295
56,4607.67,0.34095,0.26501,0.80036,0.94374,0.93215,0.97529,0.9331,0.26699,0.24483,0.78184,0.000144286,0.00288572
57,4688.48,0.34172,0.26488,0.79975,0.94369,0.93204,0.97488,0.93275,0.26724,0.24472,0.78153,0.000138957,0.00277913
58,4769.91,0.33939,0.26272,0.79992,0.94466,0.9309,0.97489,0.93285,0.26666,0.24503,0.7816,0.000133664,0.00267329
59,4851.61,0.33905,0.2625,0.799,0.94461,0.93137,0.97492,0.93345,0.26543,0.24405,0.78149,0.000128415,0.0025683
60,4933.53,0.33941,0.26144,0.79993,0.94304,0.93241,0.97533,0.93317,0.26642,0.24325,0.78128,0.000123213,0.00246426
