epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5527.26,0.733,0.42012,0.09127,0.84264,0.89387,0.92194,0.60466,0.39632,0.43465,0.0632,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5700.62,0.76776,0.41559,0.10149,0.91009,0.90851,0.95186,0.78015,0.23199,0.37469,0.04656,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5872.26,0.70564,0.42479,0.08537,0.88805,0.89187,0.94212,0.7023,0.30781,0.41257,0.0508,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6046.39,0.70751,0.42011,0.08474,0.90765,0.89984,0.95029,0.75602,0.25113,0.39745,0.04551,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6216.97,0.76556,0.42247,0.09345,0.90843,0.92034,0.95058,0.74417,0.26219,0.4014,0.05183,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6391.39,0.69956,0.43117,0.08437,0.92019,0.91541,0.95239,0.75388,0.25499,0.40124,0.04799,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6562.67,0.72238,0.4301,0.08682,0.91648,0.9133,0.95091,0.74638,0.2628,0.39464,0.04894,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6732.9,0.70477,0.42565,0.08387,0.87636,0.89537,0.93296,0.6905,0.30412,0.41036,0.05142,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6902.96,0.69249,0.42227,0.08285,0.92994,0.91745,0.95943,0.78714,0.22811,0.36493,0.04239,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7074.86,0.63817,0.42805,0.07516,0.86421,0.89314,0.9306,0.64023,0.36374,0.42646,0.05477,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7244.45,0.69433,0.41871,0.08447,0.84286,0.84264,0.89278,0.62161,0.39596,0.40964,0.05963,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7417.35,0.64789,0.42389,0.07619,0.9329,0.92001,0.96227,0.83811,0.18014,0.33714,0.03886,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7588.54,0.64305,0.42898,0.07451,0.91513,0.92332,0.95705,0.81224,0.19319,0.35676,0.04052,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7762.54,0.62585,0.42372,0.07211,0.90551,0.92585,0.95674,0.77034,0.24185,0.36301,0.04315,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7931.82,0.64248,0.42972,0.07671,0.92417,0.92494,0.96116,0.73447,0.28067,0.38786,0.0475,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8103.52,0.66388,0.42549,0.07781,0.92528,0.9231,0.95992,0.78758,0.22919,0.3606,0.04305,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8274.28,0.63754,0.42554,0.07502,0.9196,0.92722,0.96139,0.80426,0.21097,0.34639,0.04057,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8447.19,0.64274,0.42746,0.07619,0.91872,0.92614,0.96017,0.80295,0.21334,0.34694,0.04125,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8619.54,0.5969,0.42551,0.07113,0.92189,0.91763,0.96143,0.77949,0.23412,0.36271,0.04244,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8793.06,0.66242,0.42499,0.08422,0.93155,0.92349,0.96324,0.84503,0.17037,0.33789,0.03783,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8966.77,0.59174,0.42797,0.06845,0.91674,0.9218,0.95706,0.75585,0.25984,0.37393,0.04439,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9139.63,0.62189,0.42823,0.07261,0.93053,0.92832,0.96476,0.80427,0.21715,0.35581,0.04107,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9311.37,0.6039,0.41785,0.06877,0.9264,0.92854,0.96431,0.81426,0.20115,0.34003,0.03883,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
