epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
14,7179.98,0.60019,0.39369,0.00155,0.92669,0.90765,0.96108,0.9058,0.38051,0.3235,0.0018,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7296.64,0.5941,0.38845,0.00152,0.92708,0.90831,0.96141,0.90236,0.39468,0.32404,0.00168,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7413.12,0.58822,0.38341,0.0015,0.92577,0.91252,0.96242,0.90533,0.38654,0.31732,0.00167,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,7529.3,0.57532,0.38047,0.00149,0.92904,0.90874,0.96259,0.9027,0.39447,0.3219,0.00172,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7645.64,0.56933,0.37974,0.00146,0.92955,0.91002,0.9633,0.90997,0.35941,0.32754,0.00159,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7761.9,0.56461,0.37519,0.00144,0.9317,0.91016,0.96297,0.91057,0.36301,0.30699,0.00151,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,7877.88,0.55573,0.37143,0.00144,0.93208,0.91237,0.96437,0.91323,0.36055,0.30718,0.00157,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,7994.02,0.5531,0.37117,0.00142,0.92806,0.91492,0.96486,0.91219,0.36565,0.30952,0.00155,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,8110.17,0.54881,0.3667,0.00142,0.93378,0.91496,0.96576,0.91509,0.35454,0.29806,0.00151,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,8225.96,0.54367,0.3648,0.00139,0.93397,0.91132,0.96552,0.91917,0.34073,0.29915,0.0015,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,8342.03,0.53983,0.36052,0.00138,0.9307,0.91763,0.966,0.91615,0.35607,0.30081,0.00154,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,8458.18,0.5421,0.3593,0.00137,0.93662,0.91125,0.9661,0.9184,0.34813,0.29953,0.00151,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8574.39,0.53918,0.35764,0.00136,0.92998,0.9128,0.96578,0.91973,0.34398,0.30069,0.0015,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8690.66,0.53799,0.35639,0.00135,0.93252,0.91338,0.96645,0.91975,0.34093,0.296,0.00148,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8806.66,0.53571,0.35424,0.00135,0.93055,0.91935,0.96693,0.91512,0.36145,0.29724,0.0015,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,8922.67,0.53396,0.35165,0.00135,0.93343,0.91679,0.96726,0.92115,0.33863,0.29448,0.00146,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9038.64,0.5319,0.35123,0.00133,0.93139,0.91886,0.9677,0.92344,0.33353,0.28984,0.00144,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,9154.63,0.52986,0.34854,0.00133,0.93414,0.91802,0.96788,0.92269,0.3356,0.28899,0.00143,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,9270.67,0.53168,0.34989,0.00134,0.93327,0.92126,0.96859,0.92552,0.32888,0.28611,0.00143,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9386.91,0.52441,0.34558,0.00133,0.935,0.91823,0.96837,0.9258,0.32621,0.28958,0.0014,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9502.64,0.52643,0.34503,0.00131,0.93476,0.91867,0.96868,0.92649,0.32478,0.2851,0.0014,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9618.52,0.52438,0.34346,0.0013,0.93441,0.92053,0.9689,0.92612,0.32567,0.28285,0.00141,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9734.48,0.52,0.34217,0.00131,0.93481,0.90934,0.96311,0.92309,0.32377,0.30307,0.00147,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9850.58,0.52501,0.3433,0.0013,0.93898,0.91053,0.96194,0.92289,0.32598,0.28827,0.00146,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9966.83,0.51874,0.33891,0.00128,0.93657,0.91432,0.9688,0.92746,0.31994,0.28494,0.00139,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10083.2,0.52169,0.33921,0.00129,0.93671,0.91987,0.97007,0.9287,0.31929,0.27774,0.00136,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10199.3,0.52157,0.33762,0.00128,0.93865,0.91742,0.96969,0.92847,0.31926,0.28033,0.00138,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10315.9,0.51635,0.33704,0.00127,0.9338,0.92153,0.97027,0.92968,0.3154,0.27982,0.00135,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10432.4,0.51088,0.33376,0.00126,0.93535,0.92018,0.96995,0.93021,0.31337,0.2775,0.00133,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10549.5,0.51269,0.33505,0.00125,0.936,0.92001,0.97017,0.93126,0.30987,0.27741,0.00132,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10665.6,0.5068,0.33403,0.00126,0.9386,0.91981,0.9704,0.93144,0.31002,0.27633,0.00135,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10782.2,0.50495,0.3295,0.00124,0.93931,0.92064,0.97089,0.93251,0.3067,0.27377,0.00132,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10898.5,0.50257,0.33123,0.00125,0.9383,0.92072,0.97092,0.93224,0.30673,0.27463,0.00133,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11014.8,0.50053,0.32941,0.00124,0.93548,0.92368,0.97154,0.93305,0.30614,0.2729,0.00132,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11134.6,0.50116,0.32727,0.00123,0.93885,0.92157,0.97126,0.93348,0.30465,0.27222,0.00131,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11251.7,0.49628,0.32585,0.00123,0.94027,0.92148,0.97183,0.93292,0.30768,0.26934,0.00133,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,123.227,0.50146,0.3321,0.00126,0.93675,0.91653,0.97036,0.93282,0.30457,0.27974,0.00136,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,239.328,0.49743,0.32708,0.00124,0.94131,0.91552,0.97071,0.93407,0.2982,0.27499,0.00127,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,357.792,0.49048,0.32651,0.00123,0.93918,0.91478,0.97026,0.9333,0.3017,0.27967,0.0013,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,473.349,0.49035,0.32602,0.00127,0.94044,0.91616,0.97112,0.93247,0.31153,0.27337,0.00146,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,588.934,0.48482,0.32081,0.00123,0.93454,0.92661,0.97173,0.93363,0.30522,0.27032,0.00144,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,705.064,0.48372,0.31978,0.00121,0.93718,0.92411,0.97159,0.93397,0.30219,0.26929,0.00143,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,820.882,0.47939,0.31871,0.00119,0.93963,0.92344,0.9725,0.93593,0.29906,0.26616,0.00134,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,937.2,0.47459,0.31529,0.00118,0.93772,0.92427,0.97258,0.93667,0.2961,0.26516,0.0013,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1249.35,0.47129,0.31202,0.00115,0.94131,0.92312,0.97254,0.93639,0.29682,0.26319,0.00128,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1370.9,0.46754,0.3123,0.00116,0.94027,0.92171,0.97285,0.93733,0.294,0.26371,0.00127,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1488.03,0.466,0.31075,0.00114,0.93782,0.92392,0.97255,0.93751,0.29319,0.26369,0.00127,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1604.42,0.46352,0.30958,0.00114,0.94265,0.92223,0.97283,0.93784,0.29219,0.26189,0.00125,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1721.36,0.46092,0.30801,0.00112,0.94161,0.92308,0.97315,0.93848,0.29027,0.26065,0.00125,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1837.45,0.45634,0.30649,0.00112,0.94143,0.92484,0.9733,0.93876,0.2901,0.25895,0.00125,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1954.25,0.45311,0.30458,0.0011,0.94165,0.9248,0.97347,0.93914,0.28928,0.2588,0.00126,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2071.38,0.44989,0.30191,0.00109,0.9443,0.92237,0.97333,0.93973,0.28655,0.25827,0.00124,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2187.75,0.44565,0.30072,0.0011,0.94262,0.92542,0.97338,0.93978,0.28525,0.25826,0.00123,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2304.19,0.4434,0.30158,0.00109,0.94109,0.92553,0.97333,0.93945,0.28728,0.25942,0.00124,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2420.74,0.44152,0.29786,0.00108,0.94184,0.92637,0.97377,0.93975,0.28758,0.25745,0.00126,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2537.24,0.43663,0.2987,0.00107,0.94234,0.92546,0.97399,0.94051,0.28513,0.25662,0.00123,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2653.69,0.43596,0.2975,0.00107,0.94363,0.92514,0.97401,0.94078,0.28449,0.25678,0.00122,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2770.27,0.43263,0.29592,0.00108,0.94537,0.92234,0.97384,0.94008,0.28643,0.25738,0.00122,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2886.45,0.42959,0.2956,0.00106,0.94109,0.92537,0.97391,0.94054,0.28387,0.25743,0.00122,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3002.86,0.4247,0.29232,0.00104,0.93789,0.92611,0.97379,0.94085,0.28323,0.25824,0.00123,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3119.56,0.42435,0.29136,0.00103,0.94227,0.92446,0.97377,0.94119,0.28177,0.25726,0.00122,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3236.32,0.42147,0.2898,0.00103,0.9434,0.92446,0.97394,0.94101,0.28292,0.25571,0.00121,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3352.42,0.41877,0.28799,0.00102,0.94366,0.92565,0.97406,0.94129,0.28204,0.25462,0.00121,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3468.93,0.41707,0.28804,0.00102,0.93971,0.92754,0.97367,0.94103,0.28213,0.2561,0.00121,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3585.22,0.41278,0.28575,0.00102,0.93881,0.92831,0.97418,0.94151,0.28175,0.25492,0.00121,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3701.93,0.41263,0.28725,0.00101,0.93972,0.92816,0.97427,0.94137,0.28197,0.25441,0.00122,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3817.8,0.40954,0.28523,0.001,0.94255,0.92539,0.97412,0.94134,0.2817,0.25484,0.00121,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3933.91,0.40696,0.28365,0.001,0.9434,0.92526,0.97425,0.94187,0.28038,0.2538,0.0012,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4050.52,0.40478,0.28302,0.001,0.94246,0.9258,0.97428,0.9422,0.27877,0.25446,0.0012,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4167.51,0.40402,0.28076,0.00099,0.94284,0.92646,0.97456,0.94252,0.27859,0.25311,0.0012,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4284.74,0.40241,0.28051,0.00098,0.94244,0.92606,0.97443,0.94241,0.27777,0.25437,0.0012,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,119.569,0.40068,0.28,0.00098,0.9401,0.92779,0.97425,0.94219,0.2784,0.25488,0.0012,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,236.399,0.39694,0.27573,0.00097,0.94252,0.92693,0.97432,0.94268,0.27733,0.25397,0.00119,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,353.916,0.39283,0.27414,0.00097,0.94092,0.92686,0.9744,0.94238,0.27813,0.25427,0.00119,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,470.493,0.3924,0.2744,0.00097,0.93866,0.92982,0.97453,0.94242,0.27843,0.25319,0.0012,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,586.735,0.39035,0.27249,0.00096,0.94246,0.92712,0.97463,0.94268,0.27783,0.25188,0.0012,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,703.581,0.39146,0.27335,0.00096,0.94258,0.92738,0.97462,0.94286,0.2768,0.25217,0.0012,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,811.219,0.35328,0.25608,0.00097,0.9417,0.92956,0.97468,0.94252,0.27832,0.2515,0.0012,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,917.571,0.34687,0.25176,0.00095,0.944,0.92686,0.97491,0.94275,0.27846,0.25033,0.00119,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,1024.06,0.34447,0.25073,0.00094,0.94262,0.92785,0.97482,0.94266,0.27869,0.24989,0.0012,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,1130.93,0.34124,0.24767,0.00093,0.94324,0.9283,0.97501,0.943,0.27818,0.24873,0.00119,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,1237.3,0.33902,0.24706,0.00093,0.94403,0.92704,0.97501,0.94314,0.2781,0.24843,0.00119,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,1343.65,0.3384,0.24567,0.00092,0.94443,0.9266,0.97506,0.94319,0.27768,0.24855,0.00118,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,1449.94,0.33539,0.24527,0.00091,0.94277,0.92814,0.97504,0.9433,0.27765,0.24907,0.00118,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,1556.1,0.33451,0.24449,0.00091,0.94454,0.92658,0.97514,0.94347,0.27715,0.24841,0.00118,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,1662.54,0.33382,0.24285,0.00091,0.94388,0.92707,0.97514,0.94345,0.27715,0.24833,0.00118,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,1769.02,0.33378,0.24288,0.00091,0.94436,0.92681,0.97514,0.94335,0.27716,0.24811,0.00118,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
