epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,382.767,1.82832,2.19643,0.00641,0.83349,0.80873,0.86209,0.70168,0.81885,0.70449,0.00382,0.00998918,0.00332973,0.00998918,0.00332973,0.00998918,0.00332973,0.00998918,0.00332973
2,740.786,0.94787,0.69224,0.00273,0.89183,0.84749,0.91191,0.79472,0.62917,0.52441,0.00303,0.0197913,0.00659709,0.0197913,0.00659709,0.0197913,0.00659709,0.0197913,0.00659709
3,5887.81,0.84254,0.56187,0.00245,0.90074,0.86727,0.92674,0.81177,0.60813,0.47153,0.00291,0.0293954,0.00979846,0.0293954,0.00979846,0.0293954,0.00979846,0.0293954,0.00979846
4,6014.74,0.78469,0.51336,0.00224,0.91219,0.87575,0.93984,0.83398,0.55275,0.42648,0.00266,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,6129.19,0.73357,0.47564,0.00201,0.9149,0.88597,0.94772,0.85177,0.51735,0.40236,0.00247,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6245.16,0.70013,0.45638,0.00187,0.92457,0.88565,0.95125,0.87116,0.46641,0.38358,0.0022,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,6361.19,0.67145,0.44063,0.0018,0.92638,0.88905,0.94917,0.8791,0.44132,0.37259,0.00189,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,6477.9,0.65441,0.4314,0.00174,0.9244,0.89424,0.955,0.88291,0.44233,0.35935,0.00203,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6594.73,0.63867,0.41977,0.00168,0.92272,0.89791,0.9561,0.89118,0.41635,0.35236,0.00197,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6712.81,0.62799,0.41578,0.00167,0.92575,0.89854,0.95687,0.89139,0.41881,0.34706,0.00188,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6830.92,0.62524,0.4079,0.00164,0.92456,0.9048,0.95844,0.89517,0.40865,0.33765,0.00191,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6947.5,0.61669,0.40404,0.00162,0.92572,0.90472,0.95958,0.89948,0.39484,0.33191,0.0018,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7063.86,0.60815,0.39726,0.00157,0.92466,0.9088,0.9605,0.9025,0.39024,0.32754,0.00174,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
