epoch,train_loss,train_acc,val_loss,val_acc
1,0.07025444779091164,0.9763522821195703,0.027112742213792663,0.9904067267014236
2,0.026642231757184904,0.9910460097345946,0.022510105011234714,0.9941457334948304
3,0.022900548133491003,0.9923142183680341,0.017338267393578768,0.9944968139449155
4,0.020689115432922196,0.9930467181821759,0.010574784433223058,0.9966120736566785
5,0.019856257781615625,0.9933812628734109,0.012692588402313533,0.9959362437902646
6,0.019015774396041813,0.9936808224988958,0.01063553838027492,0.9966998437691997
7,0.018367443158674893,0.9939847552575994,0.011075640959576338,0.9961995541278283
8,0.017164321681937354,0.9943367924817094,0.014207709299531857,0.9952077518563379
9,0.017025286404472244,0.9944286282793032,0.012794378361815375,0.9959537978127688
10,0.016479577814014892,0.9944723596114908,0.015333551530381906,0.9952428599013464
