epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1718.62,1.12348,0.54999,0.01461,0.96566,0.97146,0.9888,0.68634,1.09547,0.31705,0.01881,0.0005941,0.0005941,0.0005941
43,1760.97,1.14649,0.58203,0.01475,0.95918,0.97626,0.99186,0.68864,1.09326,0.33397,0.01874,0.0005842,0.0005842,0.0005842
44,1803.18,1.104,0.54623,0.01432,0.94576,0.97866,0.99132,0.69087,1.07549,0.32192,0.01862,0.0005743,0.0005743,0.0005743
45,1846.06,1.11858,0.53687,0.01484,0.97687,0.98365,0.99282,0.69847,1.08235,0.30809,0.01824,0.0005644,0.0005644,0.0005644
46,1880.86,1.11276,0.54955,0.01421,0.96074,0.9823,0.9912,0.68842,1.08517,0.32459,0.01869,0.0005545,0.0005545,0.0005545
47,1924.09,1.1364,0.56319,0.01446,0.96509,0.97872,0.9922,0.70209,1.03843,0.30699,0.01762,0.0005446,0.0005446,0.0005446
48,1966.45,1.09769,0.53512,0.01428,0.96032,0.97499,0.98854,0.69902,1.0509,0.30729,0.0177,0.0005347,0.0005347,0.0005347
49,2010.41,1.10289,0.53211,0.01384,0.97915,0.97401,0.99275,0.6889,1.08356,0.30269,0.01852,0.0005248,0.0005248,0.0005248
50,2053.19,1.11177,0.5321,0.01407,0.98174,0.97519,0.9938,0.70501,1.02063,0.28633,0.01741,0.0005149,0.0005149,0.0005149
51,2089.6,1.09588,0.5171,0.01396,0.97319,0.96753,0.99164,0.70215,1.03757,0.29867,0.01787,0.000505,0.000505,0.000505
52,2126.93,1.06837,0.50085,0.01381,0.95567,0.97954,0.99034,0.70231,1.0471,0.29937,0.01784,0.0004951,0.0004951,0.0004951
53,2168.62,1.08207,0.49675,0.01376,0.9792,0.96836,0.9897,0.69014,1.07626,0.3127,0.01861,0.0004852,0.0004852,0.0004852
54,2211.45,1.05364,0.49074,0.01369,0.98021,0.98747,0.99418,0.70316,1.07251,0.28691,0.01876,0.0004753,0.0004753,0.0004753
55,2253.9,1.06702,0.49611,0.01353,0.98056,0.98006,0.99347,0.70455,1.04933,0.28652,0.0179,0.0004654,0.0004654,0.0004654
56,2305.83,1.06178,0.49159,0.01325,0.9767,0.97615,0.99273,0.68432,1.09176,0.30248,0.01877,0.0004555,0.0004555,0.0004555
57,2353.53,1.06143,0.48518,0.01367,0.9882,0.97569,0.99428,0.70792,1.05897,0.28413,0.01835,0.0004456,0.0004456,0.0004456
58,2399.63,1.03173,0.44692,0.01288,0.97957,0.97257,0.99178,0.70349,1.0547,0.30284,0.01797,0.0004357,0.0004357,0.0004357
59,2440.98,1.04765,0.51491,0.01357,0.97115,0.98978,0.99382,0.70835,1.04287,0.29055,0.01792,0.0004258,0.0004258,0.0004258
60,2479.54,1.0516,0.47904,0.0134,0.98113,0.98374,0.99444,0.71067,1.02229,0.28549,0.01714,0.0004159,0.0004159,0.0004159
61,2520.6,1.0425,0.46614,0.0133,0.97142,0.97594,0.99076,0.71174,1.04593,0.29364,0.01767,0.000406,0.000406,0.000406
62,2558.57,1.03125,0.46943,0.0131,0.98707,0.97688,0.99323,0.70058,1.07357,0.29285,0.01844,0.0003961,0.0003961,0.0003961
63,2593.81,1.036,0.48526,0.01303,0.98503,0.98733,0.99417,0.7009,1.08075,0.29042,0.01897,0.0003862,0.0003862,0.0003862
64,2636.13,1.0347,0.47041,0.0132,0.98471,0.97759,0.99313,0.70262,1.05101,0.2916,0.01798,0.0003763,0.0003763,0.0003763
65,2675.79,1.00462,0.45811,0.01275,0.98539,0.98754,0.99415,0.71341,1.04434,0.27636,0.0179,0.0003664,0.0003664,0.0003664
66,2714.76,0.9982,0.46526,0.01249,0.98962,0.97957,0.9939,0.71888,1.02257,0.27864,0.01757,0.0003565,0.0003565,0.0003565
67,2754.73,1.00693,0.45081,0.01269,0.97996,0.98254,0.99399,0.7014,1.05525,0.28718,0.01813,0.0003466,0.0003466,0.0003466
68,2793.8,0.99258,0.44825,0.01295,0.97247,0.98601,0.99209,0.68297,1.11389,0.29338,0.01946,0.0003367,0.0003367,0.0003367
69,2837.2,0.99203,0.45556,0.01207,0.98081,0.99012,0.99406,0.71383,1.0355,0.27487,0.01764,0.0003268,0.0003268,0.0003268
70,2875.26,0.98852,0.45254,0.01237,0.98416,0.9699,0.99311,0.70968,1.05524,0.29299,0.01799,0.0003169,0.0003169,0.0003169
71,2915.38,0.97857,0.44663,0.01219,0.98465,0.97164,0.993,0.71101,1.03347,0.28077,0.0176,0.000307,0.000307,0.000307
72,2951.64,0.97232,0.44672,0.0123,0.98642,0.98676,0.99438,0.703,1.05202,0.27738,0.01804,0.0002971,0.0002971,0.0002971
73,2991.04,0.98158,0.43739,0.01245,0.98855,0.99828,0.99489,0.70528,1.0385,0.26468,0.01779,0.0002872,0.0002872,0.0002872
74,3029.25,0.97425,0.43266,0.01266,0.96427,0.98911,0.99318,0.70736,1.04935,0.28325,0.01785,0.0002773,0.0002773,0.0002773
75,3070.58,0.93457,0.41494,0.01165,0.9732,0.98064,0.99308,0.71124,1.03216,0.28532,0.01763,0.0002674,0.0002674,0.0002674
76,3107.42,0.95639,0.428,0.01221,0.97517,0.98301,0.99363,0.71796,1.03306,0.28058,0.01767,0.0002575,0.0002575,0.0002575
77,3147.85,0.96802,0.44105,0.01232,0.98147,0.98911,0.99415,0.71356,1.0371,0.2767,0.01765,0.0002476,0.0002476,0.0002476
78,3182.4,0.96478,0.43171,0.01207,0.9808,0.98888,0.99438,0.70695,1.04701,0.27083,0.01803,0.0002377,0.0002377,0.0002377
79,3225.66,0.93856,0.42563,0.01193,0.98761,0.9888,0.99363,0.7159,1.03141,0.27522,0.01774,0.0002278,0.0002278,0.0002278
80,3260.59,0.94367,0.40457,0.01189,0.97591,0.9839,0.99393,0.71135,1.03927,0.27687,0.01769,0.0002179,0.0002179,0.0002179
81,3299.59,0.92584,0.41624,0.01166,0.9874,0.99245,0.99433,0.71169,1.05756,0.27695,0.01803,0.000208,0.000208,0.000208
82,3340.37,0.91387,0.41135,0.01166,0.97552,0.98726,0.99323,0.71294,1.0385,0.27889,0.01774,0.0001981,0.0001981,0.0001981
83,3376.34,0.93162,0.42954,0.01184,0.98409,0.98454,0.99423,0.72029,1.02856,0.27015,0.01772,0.0001882,0.0001882,0.0001882
84,3418.15,0.92194,0.42677,0.01161,0.98609,0.98833,0.99453,0.71099,1.05468,0.27803,0.01808,0.0001783,0.0001783,0.0001783
85,3458.54,0.92182,0.40834,0.0115,0.98268,0.99222,0.99407,0.71856,1.01645,0.27803,0.0173,0.0001684,0.0001684,0.0001684
86,3493.88,0.90551,0.39473,0.01144,0.98221,0.98712,0.99362,0.71918,1.02685,0.2759,0.01744,0.0001585,0.0001585,0.0001585
87,3535.77,0.88349,0.38582,0.01095,0.99054,0.9867,0.99397,0.72143,1.02728,0.27379,0.01752,0.0001486,0.0001486,0.0001486
88,3575.58,0.90467,0.40767,0.0116,0.98712,0.97984,0.99404,0.71018,1.03073,0.27832,0.01764,0.0001387,0.0001387,0.0001387
89,3611.06,0.86844,0.39423,0.01107,0.97733,0.9883,0.99399,0.71569,1.02959,0.2755,0.01748,0.0001288,0.0001288,0.0001288
90,3653.28,0.88013,0.40217,0.01105,0.9909,0.99151,0.99427,0.71755,1.02017,0.2682,0.01723,0.0001189,0.0001189,0.0001189
91,3694.98,0.75324,0.23003,0.01195,0.98307,0.98775,0.99393,0.70734,1.05138,0.2854,0.01785,0.000109,0.000109,0.000109
92,3736.8,0.75427,0.21638,0.01209,0.98232,0.98996,0.99368,0.71526,1.03425,0.27845,0.0176,9.91e-05,9.91e-05,9.91e-05
93,3769.25,0.75148,0.21071,0.01236,0.9853,0.99047,0.99257,0.71818,1.01639,0.26792,0.01715,8.92e-05,8.92e-05,8.92e-05
94,3810.55,0.74684,0.21147,0.01228,0.98391,0.97436,0.99187,0.7125,1.02584,0.29076,0.01734,7.93e-05,7.93e-05,7.93e-05
95,3843.17,0.72897,0.21037,0.01184,0.98981,0.97798,0.99225,0.71161,1.03328,0.28525,0.01752,6.94e-05,6.94e-05,6.94e-05
96,3882.78,0.72862,0.20805,0.01157,0.9875,0.98519,0.99401,0.71577,1.03134,0.27864,0.01746,5.95e-05,5.95e-05,5.95e-05
97,3919.57,0.72371,0.20659,0.01166,0.9843,0.98994,0.99379,0.72272,1.02368,0.2737,0.01737,4.96e-05,4.96e-05,4.96e-05
98,3957.98,0.7191,0.20738,0.01152,0.97761,0.9916,0.99227,0.71744,1.03388,0.27991,0.01755,3.97e-05,3.97e-05,3.97e-05
99,3994.62,0.71532,0.20136,0.01163,0.9892,0.98221,0.99211,0.71807,1.03059,0.2769,0.0175,2.98e-05,2.98e-05,2.98e-05
100,4032.79,0.71043,0.20834,0.01133,0.99351,0.981,0.99358,0.71966,1.03052,0.27362,0.01747,1.99e-05,1.99e-05,1.99e-05
