epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1
46,11607.9,0.37117,0.26799,0.79138,0.93216,0.93258,0.972,0.92683,0.28289,0.239,0.78149,0.00028352,0.0056704
47,11860.2,0.37074,0.26735,0.79116,0.93245,0.93239,0.97203,0.92699,0.28268,0.23878,0.78144,0.000275792,0.00551584
48,12112,0.36944,0.26683,0.79131,0.93248,0.93241,0.97204,0.92703,0.28243,0.23853,0.7814,0.000268041,0.00536081
49,12363.5,0.36927,0.26659,0.79102,0.9326,0.93245,0.97209,0.9271,0.28215,0.2383,0.78136,0.000260274,0.00520548
50,12615.7,0.36736,0.26512,0.7909,0.93241,0.93275,0.97211,0.92713,0.2821,0.2382,0.78132,0.0002525,0.00505
51,12867.7,0.36715,0.26471,0.79078,0.9325,0.93274,0.97214,0.92732,inf,0.23791,0.78126,0.000244726,0.00489452
52,13119.9,0.36639,0.26479,0.79073,0.93289,0.93246,0.97215,0.92723,inf,0.23776,0.78123,0.000236959,0.00473919
53,13370.9,0.36553,0.26406,0.79058,0.93271,0.93263,0.97218,0.9276,inf,0.23754,0.78118,0.000229208,0.00458416
54,13623.4,0.36518,0.26312,0.79026,0.93274,0.9327,0.9722,0.9277,0.28119,0.23743,0.78114,0.00022148,0.0044296
55,13876.6,0.36593,0.26274,0.79044,0.93312,0.93242,0.97222,0.92778,0.281,0.23722,0.78111,0.000213782,0.00427565
56,14128.6,0.36375,0.26208,0.79028,0.93294,0.93268,0.97224,0.92792,inf,0.23715,0.78107,0.000206123,0.00412246
57,14381.9,0.36424,0.262,0.79011,0.93291,0.9328,0.97227,0.92798,0.28067,0.23699,0.78104,0.00019851,0.00397019
58,14634.5,0.36261,0.26075,0.78984,0.93329,0.93247,0.9723,0.92816,0.28043,0.23681,0.78101,0.000190949,0.00381899
59,14886.2,0.36299,0.26092,0.78978,0.93331,0.93252,0.97232,0.92818,0.2803,0.23668,0.78097,0.00018345,0.00366899
60,15138.3,0.36196,0.26041,0.78984,0.93338,0.93253,0.97233,0.92823,inf,0.2365,0.78094,0.000176018,0.00352037
61,15391.3,0.3609,0.25971,0.7897,0.93346,0.93253,0.97236,0.92829,0.27991,0.23633,0.7809,0.000168662,0.00337325
62,15643.3,0.36085,0.25921,0.78995,0.93355,0.93249,0.97238,0.92845,0.27969,0.23621,0.78085,0.000161389,0.00322778
63,15895.8,0.36152,0.25895,0.78949,0.93354,0.93248,0.9724,0.9285,0.27966,0.23613,0.78083,0.000154206,0.00308412
64,16147.9,0.36066,0.2591,0.78952,0.93362,0.93248,0.97242,0.92855,0.27942,0.23597,0.78079,0.00014712,0.00294239
65,16401.4,0.36034,0.25867,0.78941,0.93363,0.93244,0.97244,0.92868,0.27925,0.23586,0.78076,0.000140137,0.00280275
