epoch,train_loss,train_acc,val_loss,val_acc
2,0.057897751454981716,0.9791394736217576,0.03449345943705774,0.9881140398649385
3,0.04849249658483906,0.982739974030289,0.03405118928566685,0.9874469012090187
4,0.04376238561608028,0.9846249817771283,0.0357812018387275,0.9882910358348764
5,0.04086891922863287,0.9857776843561309,0.026108310865074705,0.9906872889663435
6,0.03898297502497318,0.9865065992222648,0.0256589572358643,0.9907553643393966
7,0.03687050449920428,0.9870999020202808,0.027871947837012006,0.990496677921795
8,0.03686395799205485,0.9870388765896277,0.029217013650970142,0.9900337653850343
9,0.03506571138631689,0.9876864242148908,0.028747961057140142,0.990428602548742
10,0.033696808342700564,0.9883746554605894,0.024583745645775604,0.9918173401590241
11,0.03272429771646822,0.9886153668814988,0.026994261822339324,0.9903741422502995
12,0.031962192607047656,0.9889510067500907,0.024419693655993478,0.99150419344298
13,0.03125046866814076,0.9890933994216146,0.02792015801344518,0.9903605271756889
14,0.030331167055266,0.9893307205408209,0.021796389285763676,0.9923891732926696
15,0.029986786948560773,0.9895036259276713,0.022724661678337126,0.9916675743383073
16,0.02854064563686778,0.9900630257086578,0.02292910463054833,0.9920760265766256
17,0.028691628892934685,0.9900325129933313,0.02532295447063085,0.9916675743383073
18,0.027902636320741612,0.9900291226916283,0.019072084007327957,0.9932060777693061
19,0.027746285510037043,0.9904020558789527,0.021523041845361426,0.9921713320988998
20,0.027904035511289175,0.9903851043704379,0.024948890374597972,0.9914088879207058
21,0.02665128651836832,0.9907817696696829,0.021344932010579083,0.9930154667247576
22,0.02661474022340076,0.9906190351879414,0.019826869702324865,0.9930018516501471
23,0.026498156102785,0.9906597188083768,0.022392127834105997,0.9925797843372182
24,0.026120509413674876,0.9909241623412067,0.01836009656015257,0.9937234506045093
25,0.024970716929128944,0.9912225088910662,0.01905590142100038,0.9934783792615184
26,0.025070787446180975,0.991232679796175,0.02100177355058378,0.9927976255309879
27,0.02501156735525065,0.9913411694506694,0.02071423112057987,0.9931380023962532
28,0.02466124164738055,0.9913581209591842,0.021985807187772335,0.9927431652325455
29,0.02448928612438999,0.991368291864293,0.01919741263078683,0.9933013832915805
30,0.024263131670759584,0.9915140748375197,0.021252943287835533,0.9925797843372182
